fact;length;processed_at
"If a cat is frightened, the hair stands up fairly evenly all over the body; when the cat is threatened or is ready to attack, the hair stands up only in a narrow band along the spine and tail.";192;2025-06-29 20:40:16
Blue-eyed, white cats are often prone to deafness.;50;2025-06-29 20:40:16
In relation to their body size, cats have the largest eyes of any mammal.;73;2025-06-29 20:40:16
An adult lion's roar can be heard up to five miles (eight kilometers) away.;75;2025-06-29 20:40:16
Female felines are \superfecund;31;2025-06-29 20:40:16
At 4 weeks, it is important to play with kittens so that they do not develope a fear of people.;95;2025-06-29 20:40:16
A cat's whiskers are thought to be a kind of radar, which helps a cat gauge the space it intends to walk through.;113;2025-06-29 20:40:16
Abraham Lincoln loved cats. He had four of them while he lived in the White House.;82;2025-06-29 20:40:16
In 1987 cats overtook dogs as the number one pet in America.;60;2025-06-29 20:40:16
A cat uses its whiskers for measuring distances.  The whiskers of a cat are capable of registering very small changes in air pressure.;134;2025-06-29 20:40:16
"A cat has more bones than a human; humans have 206, and the cat - 230.";70;2025-06-29 20:40:16
Cats dislike citrus scent.;26;2025-06-29 20:40:16
It has been scientifically proven that stroking a cat can lower one's blood pressure.;85;2025-06-29 20:40:16
"Cats respond most readily to names that end in an \ee\"" sound.""""""";65;2025-06-29 20:40:16
Neutering a cat extends its life span by two or three years.;60;2025-06-29 20:40:16
Cat families usually play best in even numbers. Cats and kittens should be acquired in pairs whenever possible.;111;2025-06-29 20:40:16
The Pilgrims were the first to introduce cats to North America.;63;2025-06-29 20:40:16
After humans, mountain lions have the largest range of any mammal in the Western Hemisphere.;92;2025-06-29 20:40:16
Among many other diseases, cats can suffer from anorexia, senility, feline AIDS and acne.;89;2025-06-29 20:40:16
Cats that live together sometimes rub each others heads to show that they have no intention of fighting. Young cats do this more often, especially when they are excited.;169;2025-06-29 20:40:16
Miacis, the primitive ancestor of cats, was a small, tree-living creature of the late Eocene period, some 45 to 50 million years ago.;133;2025-06-29 20:40:16
A cat's hearing is much more sensitive than humans and dogs.;60;2025-06-29 20:40:16
A cat will tremble or shiver when it is extreme pain.;53;2025-06-29 20:40:17
In 1987, cats overtook dogs as the number one pet in America (about 50 million cats resided in 24 million homes in 1986). About 37% of American homes today have at least one cat.;178;2025-06-29 20:40:17
Contrary to popular belief, the cat is a social animal. A pet cat will respond and answer to speech , and seems to enjoy human companionship.;141;2025-06-29 20:40:17
The Maine Coon is 4 to 5 times larger than the Singapura, the smallest breed of cat.;84;2025-06-29 20:40:17
A cat has approximately 60 to 80 million olfactory cells (a human has between 5 and 20 million).;96;2025-06-29 20:40:17
Cats can be taught to walk on a leash, but a lot of time and patience is required to teach them. The younger the cat is, the easier it will be for them to learn.;161;2025-06-29 20:40:17
A cats field of vision is about 185 degrees.;44;2025-06-29 20:40:17
You check your cats pulse on the inside of the back thigh, where the leg joins to the body. Normal for cats: 110-170 beats per minute.;134;2025-06-29 20:40:17
The strongest climber among the big cats, a leopard can carry prey twice its weight up a tree.;94;2025-06-29 20:40:17
The first true cats came into existence about 12 million years ago and were the Proailurus.;91;2025-06-29 20:40:17
There is a species of cat smaller than the average housecat. It is native to Africa and it is the Black-footed cat (Felis nigripes). Its top weight is 5.5 pounds.;162;2025-06-29 20:40:17
Phoenician cargo ships are thought to have brought the first domesticated cats to Europe in about 900 BC.;105;2025-06-29 20:40:17
Cat families usually play best in even numbers. Cats and kittens should be aquired in pairs whenever possible.;110;2025-06-29 20:40:17
Cheetahs do not roar, as the other big cats do. Instead, they purr.;67;2025-06-29 20:40:17
Ailurophile is the word cat lovers are officially called.;57;2025-06-29 20:40:17
The cat has 500 skeletal muscles (humans have 650).;51;2025-06-29 20:40:17
Cats are subject to gum disease and to dental caries. They should have their teeth cleaned by the vet or the cat dentist once a year.;133;2025-06-29 20:40:17
Florence Nightingale owned more than 60 cats in her lifetime.;61;2025-06-29 20:40:17
Cat bites are more likely to become infected than dog bites.;60;2025-06-29 20:40:17
Tylenol and chocolate are both poisionous to cats.;50;2025-06-29 20:40:17
A cat named Dusty, aged 1 7, living in Bonham, Texas, USA, gave birth to her 420th kitten on June 23, 1952.;107;2025-06-29 20:40:18
In ancient Egypt, mummies were made of cats, and embalmed mice were placed with them in their tombs. In one ancient city, over 300,000 cat mummies were found.;158;2025-06-29 20:40:18
Fossil records from two million years ago show evidence of jaguars.;67;2025-06-29 20:40:18
In multi-cat households, cats of the opposite sex usually get along better.;75;2025-06-29 20:40:18
Normal body temperature for a cat is 102 degrees F.;51;2025-06-29 20:40:18
A cat cannot see directly under its nose.;41;2025-06-29 20:40:18
Baking chocolate is the most dangerous chocolate to your cat.;61;2025-06-29 20:40:18
Unlike humans, cats do not need to blink their eyes on a regular basis to keep their eyes lubricated.;101;2025-06-29 20:40:18
Cats, just like people, are subject to asthma. Dust, smoke, and other forms of air pullution in your cat's environment can be troublesome sources of irritation.;160;2025-06-29 20:40:18
"Cats' hearing stops at 65 khz (kilohertz); humans' hearing stops at 20 khz.";75;2025-06-29 20:40:18
All cats need taurine in their diet to avoid blindness. Cats must also have fat in their diet as they are unable to produce it on their own.;140;2025-06-29 20:40:18
Cats eat grass to aid their digestion and to help them get rid of any fur in their stomachs.;92;2025-06-29 20:40:18
The average cat food meal is the equivalent to about five mice.;63;2025-06-29 20:40:18
In Siam, the cat was so revered that one rode in a chariot at the head of a parade celebrating the new king.;108;2025-06-29 20:40:18
The cat's footpads absorb the shocks of the landing when the cat jumps.;71;2025-06-29 20:40:18
Siamese kittens are born white because of the heat inside the mother's uterus before birth. This heat keeps the kittens' hair from darkening on the points.;155;2025-06-29 20:40:18
There are approximately 60,000 hairs per square inch on the back of a cat and about 120,000 per square inch on its underside.;125;2025-06-29 20:40:18
"Cats have 30 vertebrae (humans have 33 vertebrae during early development; 26 after the sacral and coccygeal regions fuse)";122;2025-06-29 20:40:18
"A cat has more bones than a human being; humans have 206 and the cat has 230 bones.";83;2025-06-29 20:40:18
The silks created by weavers in Baghdad were inspired by the beautiful and varied colors and markings of cat coats. These fabrics were called 'tabby' by European traders.;170;2025-06-29 20:40:18
Cats often overract to unexpected stimuli because of their extremely sensitive nervous system.;94;2025-06-29 20:40:19
Cats can jump up to 7 times their tail length.;46;2025-06-29 20:40:19
A queen (female cat) can begin mating when she is between 5 and 9 months old.;77;2025-06-29 20:40:19
Milk can give some cats diarrhea.;33;2025-06-29 20:40:19
The cat appears to be the only domestic companion animal not mentioned in the Bible.;84;2025-06-29 20:40:19
The life expectancy of cats has nearly doubled since 1930 - from 8 to 16 years.;79;2025-06-29 20:40:19
A cat's appetite is the barometer of its health. Any cat that does not eat or drink for more than two days should be taken to a vet.;132;2025-06-29 20:40:19
Unlike humans, cats cannot detect sweetness which likely explains why they are not drawn to it at all.;102;2025-06-29 20:40:19
Ginger tabby cats can have freckles around their mouths and on their eyelids!;77;2025-06-29 20:40:19
A cat has the power to sometimes heal themselves by purring. A domestic cat's purr has a frequency of between 25 and 150 Hertz, which happens to be the frequency at which muscles and bones best grow and repair themselves. ;222;2025-06-29 20:40:19
Cats only use their meows to talk to humans, not each other. The only time they meow to communicate with other felines is when they are kittens to signal to their mother.;170;2025-06-29 20:40:19
Despite imagery of cats happily drinking milk from saucers, studies indicate that cats are actually lactose intolerant and should avoid it entirely.;148;2025-06-29 20:40:19
The longest living cat on record according to the Guinness Book belongs to the late Creme Puff of Austin, Texas who lived to the ripe old age of 38 years and 3 days!;165;2025-06-29 20:40:19
The Cat Fanciers Association (CFA) recognizes 44 breeds of cats.;64;2025-06-29 20:40:19
A cat's cerebral cortex contains about twice as many neurons as that of dogs. Cats have 300 million neurons, whereas dogs have about 160 million. See, cats rule, dogs drool!;173;2025-06-29 20:40:19
Polydactyl cats (a cat with 1-2 extra toes on their paws) have this as a result of a genetic mutation. These cats are also referred to as 'Hemingway cats' because writer Ernest Hemingway reportedly owned dozens of them at his home in Key West, Florida.;252;2025-06-29 20:40:19
Sir Isaac Newton is credited with creating the concept for the pet door that many cats use today to travel outdoors.;116;2025-06-29 20:40:19
The average cat can jump 8 feet in a single bound, nearly six times its body length!;84;2025-06-29 20:40:19
"A cat's smell is their strongest sense, and they rely on this leading sense to identify people and objects; a feline's sense of smell is 14x better than a human's.";163;2025-06-29 20:40:19
Cats only sweat through their paws and nowhere else on their body;65;2025-06-29 20:40:19
 A cat only has the ability to move their jaw up and down, not side to side like a human can.;93;2025-06-29 20:40:19
A group of cats is called a clowder.;36;2025-06-29 20:40:19
A female cat can be referred to as a molly or a queen, and a male cat is often labeled as a tom.;96;2025-06-29 20:40:19
A cat has the ability to rotate their ears 180 degrees,with the help of 32 muscles that they use to control them.;113;2025-06-29 20:40:19
70% of your cat's life is spent asleep.;39;2025-06-29 20:40:19
A cat's nose is as unique as a human's fingerprint.;51;2025-06-29 20:40:19
Cats have 3 eyelids.;20;2025-06-29 20:40:19
Your cat's heart beats at a rate almost double that of yours, from 110-140 beats per minute.;92;2025-06-29 20:40:19
In Ancient Egypt, when a person's house cat passed away, the owner would shave their eyebrows to reflect their grief.;117;2025-06-29 20:40:19
Owning a cat is actually proven to be beneficial for your health.;65;2025-06-29 20:40:19
Cats prefer to remain non-confrontational. They will not fight to show dominance, but rather to stake their territory. Cats will actually go to extremes to avoid one another in order to prevent a possible confrontation.;219;2025-06-29 20:40:19
Unlike humans, cats are usually lefties. Studies indicate that their left paw is typically their dominant paw.;110;2025-06-29 20:40:19
